"x"
"Month","HBT","TotalOperations","TotalOperationsQF","TotalCancelled","TotalCancelledQF","CancelledByPatientReason","CancelledByPatientReasonQF","ClinicalReason","ClinicalReasonQF","NonClinicalCapacityReason","NonClinicalCapacityReasonQF","OtherReason","OtherReasonQF"
201811,"S08000022",1282,NA,138,NA,52,NA,45,NA,41,NA,0,NA
201811,"S08000024",4982,NA,503,NA,208,NA,205,NA,65,NA,25,NA
201811,"S08000025",273,NA,14,NA,5,NA,4,NA,5,NA,0,NA
201811,"S08000026",204,NA,9,NA,9,NA,0,NA,0,NA,0,NA
201811,"S08000028",97,NA,5,NA,1,NA,4,NA,0,NA,0,NA
201811,"S08000029",1389,NA,103,NA,33,NA,54,NA,16,NA,0,NA
201811,"S08000030",2047,NA,130,NA,25,NA,40,NA,57,NA,8,NA
201811,"S08000031",6472,NA,939,NA,137,NA,217,NA,570,NA,15,NA
201811,"S08000032",2847,NA,260,NA,96,NA,100,NA,49,NA,15,NA
201811,"SB0801",1784,NA,78,NA,18,NA,32,NA,28,NA,0,NA
201812,"S08000015",1499,NA,153,NA,47,NA,77,NA,24,NA,5,NA
201812,"S08000016",275,NA,25,NA,2,NA,18,NA,4,NA,1,NA
201812,"S08000017",1273,NA,100,NA,36,NA,43,NA,17,NA,4,NA
201812,"S08000019",815,NA,85,NA,37,NA,22,NA,26,NA,0,NA
201812,"S08000020",2527,NA,234,NA,89,NA,85,NA,52,NA,8,NA
201812,"S08000022",1099,NA,132,NA,58,NA,44,NA,30,NA,0,NA
201812,"S08000024",4831,NA,555,NA,209,NA,142,NA,179,NA,25,NA
201812,"S08000025",211,NA,11,NA,9,NA,0,NA,2,NA,0,NA
201812,"S08000026",161,NA,14,NA,6,NA,8,NA,0,NA,0,NA
201812,"S08000028",87,NA,10,NA,1,NA,6,NA,3,NA,0,NA
201812,"S08000029",1173,NA,88,NA,28,NA,36,NA,24,NA,0,NA
201812,"S08000030",1555,NA,103,NA,25,NA,32,NA,44,NA,2,NA
201812,"S08000031",5340,NA,422,NA,124,NA,199,NA,94,NA,5,NA
201812,"S08000032",2250,NA,248,NA,111,NA,93,NA,33,NA,11,NA
201812,"SB0801",1443,NA,57,NA,18,NA,26,NA,13,NA,0,NA
201901,"S08000015",1877,NA,259,NA,74,NA,112,NA,69,NA,4,NA
201901,"S08000016",356,NA,34,NA,9,NA,11,NA,14,NA,0,NA
201901,"S08000017",1499,NA,120,NA,46,NA,52,NA,18,NA,4,NA
201901,"S08000019",1015,NA,100,NA,39,NA,38,NA,23,NA,0,NA
201901,"S08000020",3148,NA,307,NA,109,NA,104,NA,76,NA,18,NA
201901,"S08000022",1184,NA,158,NA,56,NA,32,NA,63,NA,7,NA
201901,"S08000024",5252,NA,593,NA,245,NA,162,NA,132,NA,54,NA
201901,"S08000025",227,NA,21,NA,7,NA,3,NA,6,NA,5,NA
201901,"S08000026",178,NA,12,NA,6,NA,6,NA,0,NA,0,NA
201901,"S08000028",118,NA,12,NA,2,NA,5,NA,5,NA,0,NA
201901,"S08000029",1391,NA,117,NA,40,NA,38,NA,39,NA,0,NA
201901,"S08000030",1951,NA,123,NA,37,NA,46,NA,31,NA,9,NA
201901,"S08000031",6649,NA,568,NA,190,NA,255,NA,82,NA,41,NA
201901,"S08000032",2722,NA,275,NA,114,NA,102,NA,52,NA,7,NA
201901,"SB0801",1704,NA,89,NA,38,NA,24,NA,27,NA,0,NA
201902,"S08000015",1733,NA,180,NA,52,NA,86,NA,35,NA,7,NA
201902,"S08000016",404,NA,40,NA,10,NA,19,NA,10,NA,1,NA
201902,"S08000017",1421,NA,103,NA,27,NA,44,NA,30,NA,2,NA
201902,"S08000019",992,NA,99,NA,31,NA,44,NA,23,NA,1,NA
201902,"S08000020",2864,NA,265,NA,81,NA,68,NA,105,NA,11,NA
201902,"S08000022",1210,NA,173,NA,66,NA,41,NA,65,NA,1,NA
201902,"S08000024",4737,NA,484,NA,212,NA,152,NA,79,NA,41,NA
201902,"S08000025",229,NA,17,NA,4,NA,6,NA,5,NA,2,NA
201902,"S08000026",192,NA,11,NA,6,NA,4,NA,1,NA,0,NA
201902,"S08000028",105,NA,14,NA,5,NA,7,NA,2,NA,0,NA
201902,"S08000029",1689,NA,109,NA,36,NA,39,NA,34,NA,0,NA
201902,"S08000030",1740,NA,104,NA,35,NA,36,NA,29,NA,4,NA
201902,"S08000031",6415,NA,492,NA,169,NA,234,NA,63,NA,26,NA
201902,"S08000032",2488,NA,283,NA,120,NA,75,NA,52,NA,36,NA
201902,"SB0801",1543,NA,81,NA,20,NA,24,NA,37,NA,0,NA
201903,"S08000015",1731,NA,190,NA,51,NA,100,NA,31,NA,8,NA
201903,"S08000016",453,NA,44,NA,12,NA,13,NA,17,NA,2,NA
201903,"S08000017",1411,NA,120,NA,45,NA,43,NA,27,NA,5,NA
201903,"S08000019",1085,NA,77,NA,30,NA,35,NA,12,NA,0,NA
201903,"S08000020",3366,NA,292,NA,117,NA,99,NA,65,NA,11,NA
201903,"S08000022",1397,NA,139,NA,60,NA,47,NA,31,NA,1,NA
201903,"S08000024",5304,NA,525,NA,221,NA,164,NA,91,NA,49,NA
201903,"S08000025",265,NA,20,NA,12,NA,3,NA,3,NA,2,NA
201903,"S08000026",197,NA,14,NA,8,NA,4,NA,2,NA,0,NA
201903,"S08000028",99,NA,8,NA,0,NA,6,NA,2,NA,0,NA
201903,"S08000029",1633,NA,103,NA,42,NA,36,NA,25,NA,0,NA
201903,"S08000030",2008,NA,108,NA,30,NA,37,NA,33,NA,8,NA
201903,"S08000031",6774,NA,513,NA,171,NA,241,NA,83,NA,18,NA
201903,"S08000032",2274,NA,269,NA,107,NA,97,NA,50,NA,15,NA
201903,"SB0801",1649,NA,83,NA,28,NA,38,NA,17,NA,0,NA
201904,"S08000015",1698,NA,157,NA,60,NA,72,NA,23,NA,2,NA
201904,"S08000016",408,NA,25,NA,9,NA,12,NA,4,NA,0,NA
201904,"S08000017",1483,NA,113,NA,39,NA,49,NA,20,NA,5,NA
201904,"S08000019",1010,NA,80,NA,29,NA,31,NA,20,NA,0,NA
201904,"S08000020",3116,NA,244,NA,83,NA,86,NA,65,NA,10,NA
201904,"S08000022",1296,NA,166,NA,72,NA,37,NA,57,NA,0,NA
201904,"S08000024",5027,NA,458,NA,208,NA,145,NA,82,NA,23,NA
201904,"S08000025",252,NA,21,NA,7,NA,6,NA,8,NA,0,NA
201904,"S08000026",171,NA,4,NA,3,NA,1,NA,0,NA,0,NA
201904,"S08000028",87,NA,7,NA,1,NA,3,NA,3,NA,0,NA
201904,"S08000029",1353,NA,113,NA,32,NA,49,NA,32,NA,0,NA
201904,"S08000030",1792,NA,118,NA,47,NA,33,NA,28,NA,10,NA
201904,"S08000031",5870,NA,448,NA,160,NA,203,NA,77,NA,8,NA
201904,"S08000032",2124,NA,281,NA,135,NA,86,NA,54,NA,6,NA
201904,"SB0801",1517,NA,75,NA,25,NA,31,NA,19,NA,0,NA
201905,"S08000015",1710,NA,179,NA,60,NA,78,NA,33,NA,8,NA
201905,"S08000016",385,NA,33,NA,14,NA,11,NA,8,NA,0,NA
201905,"S08000017",1576,NA,132,NA,45,NA,62,NA,21,NA,4,NA
201905,"S08000019",1124,NA,98,NA,40,NA,41,NA,17,NA,0,NA
201905,"S08000020",3383,NA,257,NA,99,NA,88,NA,55,NA,15,NA
201905,"S08000022",1435,NA,180,NA,90,NA,45,NA,45,NA,0,NA
201905,"S08000024",5655,NA,520,NA,281,NA,149,NA,66,NA,24,NA
201905,"S08000025",315,NA,16,NA,8,NA,5,NA,3,NA,0,NA
201905,"S08000026",210,NA,19,NA,11,NA,7,NA,1,NA,0,NA
201905,"S08000028",96,NA,6,NA,1,NA,4,NA,1,NA,0,NA
201905,"S08000029",1423,NA,109,NA,37,NA,45,NA,27,NA,0,NA
201905,"S08000030",2145,NA,136,NA,40,NA,55,NA,33,NA,8,NA
201905,"S08000031",6094,NA,463,NA,142,NA,199,NA,112,NA,10,NA
201905,"S08000032",2479,NA,247,NA,80,NA,104,NA,52,NA,11,NA
201905,"SB0801",1642,NA,74,NA,21,NA,27,NA,26,NA,0,NA
201906,"S08000015",1568,NA,176,NA,51,NA,79,NA,34,NA,12,NA
201906,"S08000016",328,NA,28,NA,17,NA,4,NA,7,NA,0,NA
201906,"S08000017",1439,NA,106,NA,33,NA,50,NA,20,NA,3,NA
201906,"S08000019",996,NA,95,NA,34,NA,30,NA,31,NA,0,NA
201906,"S08000020",3086,NA,288,NA,115,NA,92,NA,70,NA,11,NA
201906,"S08000022",1152,NA,146,NA,49,NA,36,NA,61,NA,0,NA
201906,"S08000024",5230,NA,574,NA,284,NA,166,NA,95,NA,29,NA
201906,"S08000025",98,NA,7,NA,4,NA,1,NA,2,NA,0,NA
201906,"S08000026",165,NA,6,NA,3,NA,3,NA,0,NA,0,NA
201906,"S08000028",90,NA,14,NA,6,NA,4,NA,3,NA,1,NA
201906,"S08000029",1288,NA,85,NA,27,NA,28,NA,30,NA,0,NA
201906,"S08000030",1885,NA,98,NA,36,NA,38,NA,17,NA,7,NA
201906,"S08000031",5870,NA,428,NA,149,NA,183,NA,85,NA,11,NA
201906,"S08000032",2175,NA,230,NA,71,NA,95,NA,47,NA,17,NA
201906,"SB0801",1571,NA,67,NA,13,NA,24,NA,30,NA,0,NA
201907,"S08000015",1641,NA,189,NA,64,NA,78,NA,27,NA,20,NA
201907,"S08000016",414,NA,24,NA,12,NA,7,NA,5,NA,0,NA
201907,"S08000017",1594,NA,119,NA,46,NA,52,NA,14,NA,7,NA
201907,"S08000019",825,NA,90,NA,41,NA,28,NA,21,NA,0,NA
201907,"S08000020",3014,NA,258,NA,114,NA,88,NA,43,NA,13,NA
201907,"S08000022",1218,NA,170,NA,71,NA,41,NA,58,NA,0,NA
201907,"S08000024",5251,NA,556,NA,174,NA,171,NA,192,NA,19,NA
201907,"S08000025",305,NA,16,NA,7,NA,3,NA,6,NA,0,NA
201907,"S08000026",160,NA,10,NA,6,NA,4,NA,0,NA,0,NA
201907,"S08000028",128,NA,13,NA,2,NA,10,NA,1,NA,0,NA
201907,"S08000029",1180,NA,76,NA,23,NA,38,NA,15,NA,0,NA
201907,"S08000030",1623,NA,102,NA,44,NA,31,NA,23,NA,4,NA
201907,"S08000031",5763,NA,418,NA,143,NA,198,NA,70,NA,7,NA
201907,"S08000032",2090,NA,219,NA,76,NA,91,NA,40,NA,12,NA
201907,"SB0801",1684,NA,85,NA,24,NA,32,NA,29,NA,0,NA
201908,"S08000015",1884,NA,206,NA,69,NA,64,NA,63,NA,10,NA
201908,"S08000016",387,NA,46,NA,10,NA,8,NA,28,NA,0,NA
201908,"S08000017",1471,NA,127,NA,43,NA,49,NA,30,NA,5,NA
201908,"S08000019",959,NA,70,NA,27,NA,32,NA,11,NA,0,NA
201908,"S08000020",3047,NA,252,NA,107,NA,66,NA,56,NA,23,NA
201908,"S08000022",1196,NA,145,NA,68,NA,45,NA,32,NA,0,NA
201908,"S08000024",5094,NA,494,NA,181,NA,163,NA,134,NA,16,NA
201908,"S08000025",305,NA,19,NA,13,NA,5,NA,1,NA,0,NA
201908,"S08000026",171,NA,20,NA,6,NA,7,NA,2,NA,5,NA
201908,"S08000028",90,NA,10,NA,4,NA,3,NA,3,NA,0,NA
201908,"S08000029",1250,NA,78,NA,31,NA,26,NA,21,NA,0,NA
201908,"S08000030",1967,NA,130,NA,46,NA,38,NA,39,NA,7,NA
201908,"S08000031",6325,NA,432,NA,164,NA,192,NA,61,NA,15,NA
201908,"S08000032",2211,NA,245,NA,92,NA,79,NA,48,NA,26,NA
201908,"SB0801",1679,NA,69,NA,14,NA,26,NA,29,NA,0,NA
201909,"S08000015",1561,NA,170,NA,68,NA,58,NA,31,NA,13,NA
201909,"S08000016",424,NA,38,NA,15,NA,9,NA,14,NA,0,NA
201909,"S08000017",1431,NA,126,NA,40,NA,54,NA,29,NA,3,NA
201909,"S08000019",1018,NA,93,NA,41,NA,35,NA,17,NA,0,NA
201909,"S08000020",3113,NA,291,NA,108,NA,77,NA,93,NA,13,NA
201909,"S08000022",1320,NA,171,NA,88,NA,42,NA,41,NA,0,NA
201909,"S08000024",4633,NA,396,NA,172,NA,134,NA,69,NA,21,NA
201909,"S08000025",329,NA,16,NA,5,NA,4,NA,7,NA,0,NA
201909,"S08000026",169,NA,34,NA,6,NA,3,NA,25,NA,0,NA
201909,"S08000028",99,NA,16,NA,4,NA,6,NA,4,NA,2,NA
201909,"S08000029",1442,NA,104,NA,25,NA,47,NA,32,NA,0,NA
201909,"S08000030",1992,NA,139,NA,58,NA,45,NA,32,NA,4,NA
201909,"S08000031",6482,NA,521,NA,172,NA,248,NA,80,NA,21,NA
201909,"S08000032",2119,NA,219,NA,76,NA,77,NA,50,NA,16,NA
201909,"SB0801",1572,NA,78,NA,25,NA,34,NA,19,NA,0,NA
201910,"S08000015",1785,NA,209,NA,68,NA,84,NA,46,NA,11,NA
201910,"S08000016",451,NA,36,NA,20,NA,8,NA,8,NA,0,NA
201910,"S08000017",1639,NA,144,NA,38,NA,65,NA,34,NA,7,NA
201910,"S08000019",1099,NA,86,NA,33,NA,35,NA,18,NA,0,NA
201910,"S08000020",3092,NA,244,NA,103,NA,67,NA,66,NA,8,NA
201910,"S08000022",1311,NA,137,NA,71,NA,41,NA,25,NA,0,NA
201910,"S08000024",5413,NA,480,NA,242,NA,157,NA,64,NA,17,NA
201910,"S08000025",276,NA,15,NA,9,NA,1,NA,5,NA,0,NA
201910,"S08000026",178,NA,15,NA,10,NA,5,NA,0,NA,0,NA
201910,"S08000028",112,NA,7,NA,3,NA,3,NA,1,NA,0,NA
201910,"S08000029",1375,NA,108,NA,35,NA,28,NA,45,NA,0,NA
201910,"S08000030",1712,NA,109,NA,37,NA,40,NA,23,NA,9,NA
201910,"S08000031",6707,NA,561,NA,217,NA,238,NA,82,NA,24,NA
201910,"S08000032",2253,NA,242,NA,112,NA,77,NA,44,NA,9,NA
201910,"SB0801",1734,NA,88,NA,33,NA,32,NA,23,NA,0,NA
201911,"S08000015",1770,NA,213,NA,67,NA,88,NA,50,NA,8,NA
201911,"S08000016",448,NA,45,NA,11,NA,24,NA,9,NA,1,NA
201911,"S08000017",1621,NA,125,NA,36,NA,45,NA,36,NA,8,NA
201911,"S08000019",1015,NA,95,NA,43,NA,35,NA,17,NA,0,NA
201911,"S08000020",3259,NA,273,NA,89,NA,91,NA,60,NA,33,NA
201911,"S08000022",1269,NA,171,NA,56,NA,43,NA,72,NA,0,NA
201911,"S08000024",5195,NA,597,NA,191,NA,176,NA,220,NA,10,NA
201911,"S08000025",318,NA,16,NA,11,NA,2,NA,3,NA,0,NA
201911,"S08000026",198,NA,12,NA,5,NA,6,NA,1,NA,0,NA
201911,"S08000028",113,NA,7,NA,1,NA,3,NA,3,NA,0,NA
201911,"S08000029",1559,NA,127,NA,29,NA,71,NA,27,NA,0,NA
201911,"S08000030",1892,NA,112,NA,39,NA,42,NA,22,NA,9,NA
201911,"S08000031",6768,NA,578,NA,209,NA,237,NA,118,NA,14,NA
201911,"S08000032",2477,NA,246,NA,99,NA,89,NA,50,NA,8,NA
201911,"SB0801",1864,NA,89,NA,17,NA,36,NA,36,NA,0,NA
201912,"S08000015",1641,NA,277,NA,57,NA,95,NA,117,NA,8,NA
201912,"S08000016",393,NA,49,NA,15,NA,16,NA,18,NA,0,NA
201912,"S08000017",1395,NA,105,NA,35,NA,50,NA,17,NA,3,NA
201912,"S08000019",848,NA,91,NA,25,NA,38,NA,28,NA,0,NA
201912,"S08000020",2669,NA,275,NA,86,NA,72,NA,97,NA,20,NA
201912,"S08000022",1104,NA,178,NA,58,NA,44,NA,76,NA,0,NA
201912,"S08000024",4759,NA,500,NA,220,NA,134,NA,133,NA,13,NA
201912,"S08000025",299,NA,16,NA,11,NA,2,NA,3,NA,0,NA
201912,"S08000026",119,NA,6,NA,5,NA,1,NA,0,NA,0,NA
201912,"S08000028",98,NA,15,NA,3,NA,6,NA,3,NA,3,NA
201912,"S08000029",1287,NA,101,NA,42,NA,44,NA,15,NA,0,NA
201912,"S08000030",1783,NA,115,NA,41,NA,41,NA,26,NA,7,NA
201912,"S08000031",5797,NA,578,NA,198,NA,239,NA,122,NA,19,NA
201912,"S08000032",1892,NA,222,NA,89,NA,64,NA,60,NA,9,NA
201912,"SB0801",1707,NA,89,NA,40,NA,35,NA,14,NA,0,NA
202001,"S08000015",1704,NA,261,NA,60,NA,72,NA,118,NA,11,NA
202001,"S08000016",403,NA,20,NA,12,NA,4,NA,4,NA,0,NA
202001,"S08000017",1544,NA,112,NA,31,NA,54,NA,26,NA,1,NA
202001,"S08000019",1086,NA,90,NA,37,NA,40,NA,13,NA,0,NA
202001,"S08000020",3311,NA,272,NA,82,NA,79,NA,90,NA,21,NA
202001,"S08000022",1202,NA,191,NA,47,NA,37,NA,106,NA,1,NA
202001,"S08000024",4477,NA,473,NA,222,NA,151,NA,84,NA,16,NA
202001,"S08000025",302,NA,22,NA,10,NA,5,NA,7,NA,0,NA
202001,"S08000026",195,NA,9,NA,4,NA,3,NA,1,NA,1,NA
202001,"S08000028",109,NA,11,NA,2,NA,7,NA,1,NA,1,NA
202001,"S08000029",1394,NA,117,NA,24,NA,56,NA,37,NA,0,NA
202001,"S08000030",2204,NA,140,NA,52,NA,42,NA,31,NA,15,NA
202001,"S08000031",6673,NA,658,NA,223,NA,249,NA,126,NA,60,NA
202001,"S08000032",2365,NA,273,NA,121,NA,75,NA,68,NA,9,NA
202001,"SB0801",1894,NA,101,NA,32,NA,41,NA,28,NA,0,NA
202002,"S08000015",1653,NA,204,NA,63,NA,82,NA,53,NA,6,NA
202002,"S08000016",407,NA,33,NA,7,NA,21,NA,5,NA,0,NA
202002,"S08000017",1498,NA,125,NA,28,NA,59,NA,31,NA,7,NA
202002,"S08000019",1082,NA,75,NA,25,NA,40,NA,10,NA,0,NA
202002,"S08000020",3158,NA,247,NA,78,NA,70,NA,80,NA,19,NA
202002,"S08000022",1170,NA,132,NA,39,NA,48,NA,44,NA,1,NA
202002,"S08000024",4078,NA,491,NA,211,NA,141,NA,130,NA,9,NA
202002,"S08000025",306,NA,17,NA,13,NA,2,NA,2,NA,0,NA
202002,"S08000026",190,NA,19,NA,8,NA,11,NA,0,NA,0,NA
202002,"S08000028",99,NA,9,NA,0,NA,7,NA,2,NA,0,NA
202002,"S08000029",1407,NA,108,NA,35,NA,43,NA,28,NA,2,NA
202002,"S08000030",2020,NA,126,NA,40,NA,41,NA,35,NA,10,NA
202002,"S08000031",6699,NA,511,NA,180,NA,236,NA,66,NA,29,NA
202002,"S08000032",2159,NA,268,NA,139,NA,81,NA,39,NA,9,NA
202002,"SB0801",1719,NA,116,NA,33,NA,44,NA,39,NA,0,NA
202003,"S08000015",1229,NA,262,NA,42,NA,135,NA,63,NA,22,NA
202003,"S08000016",262,NA,55,NA,11,NA,3,NA,41,NA,0,NA
202003,"S08000017",1100,NA,115,NA,30,NA,44,NA,28,NA,13,NA
202003,"S08000019",855,NA,126,NA,43,NA,57,NA,26,NA,0,NA
202003,"S08000020",2455,NA,327,NA,108,NA,82,NA,124,NA,13,NA
202003,"S08000022",749,NA,255,NA,28,NA,22,NA,205,NA,0,NA
202003,"S08000024",3429,NA,729,NA,208,NA,129,NA,388,NA,4,NA
202003,"S08000025",298,NA,50,NA,8,NA,1,NA,37,NA,4,NA
202003,"S08000026",102,NA,13,NA,6,NA,7,NA,0,NA,0,NA
202003,"S08000028",110,NA,14,NA,6,NA,3,NA,5,NA,0,NA
202003,"S08000029",1054,NA,118,NA,39,NA,21,NA,58,NA,0,NA
202003,"S08000030",1241,NA,110,NA,25,NA,34,NA,29,NA,22,NA
202003,"S08000031",4759,NA,585,NA,182,NA,225,NA,147,NA,31,NA
202003,"S08000032",1385,NA,177,NA,61,NA,88,NA,22,NA,6,NA
202003,"SB0801",1164,NA,83,NA,21,NA,39,NA,23,NA,0,NA
202004,"S08000015",168,NA,27,NA,2,NA,19,NA,6,NA,0,NA
202004,"S08000016",40,NA,5,NA,0,NA,0,NA,5,NA,0,NA
202004,"S08000017",187,NA,8,NA,3,NA,5,NA,0,NA,0,NA
202004,"S08000019",147,NA,32,NA,8,NA,24,NA,0,NA,0,NA
202004,"S08000020",450,NA,58,NA,15,NA,18,NA,17,NA,8,NA
202004,"S08000022",107,NA,1,NA,0,NA,0,NA,1,NA,0,NA
202004,"S08000024",1116,NA,178,NA,61,NA,45,NA,59,NA,13,NA
202004,"S08000025",73,NA,4,NA,0,NA,0,NA,4,NA,0,NA
202004,"S08000026",4,NA,0,NA,0,NA,0,NA,0,NA,0,NA
202004,"S08000028",6,NA,1,NA,0,NA,1,NA,0,NA,0,NA
202004,"S08000029",196,NA,17,NA,5,NA,4,NA,8,NA,0,NA
202004,"S08000030",258,NA,24,NA,7,NA,7,NA,10,NA,0,NA
202004,"S08000031",393,NA,44,NA,5,NA,27,NA,12,NA,0,NA
202004,"S08000032",136,NA,34,NA,4,NA,17,NA,0,NA,13,NA
202004,"SB0801",125,NA,25,NA,3,NA,3,NA,19,NA,0,NA
202005,"S08000015",152,NA,14,NA,2,NA,7,NA,5,NA,0,NA
202005,"S08000016",56,NA,4,NA,0,NA,4,NA,0,NA,0,NA
202005,"S08000017",298,NA,17,NA,6,NA,10,NA,0,NA,1,NA
202005,"S08000019",143,NA,5,NA,0,NA,5,NA,0,NA,0,NA
202005,"S08000020",751,NA,80,NA,21,NA,40,NA,13,NA,6,NA
202005,"S08000022",168,NA,5,NA,1,NA,3,NA,1,NA,0,NA
202005,"S08000024",1154,NA,117,NA,38,NA,56,NA,19,NA,4,NA
202005,"S08000025",124,NA,5,NA,0,NA,0,NA,5,NA,0,NA
202005,"S08000026",14,NA,0,NA,0,NA,0,NA,0,NA,0,NA
202005,"S08000028",6,NA,0,NA,0,NA,0,NA,0,NA,0,NA
202005,"S08000029",158,NA,5,NA,0,NA,4,NA,1,NA,0,NA
202005,"S08000030",247,NA,10,NA,6,NA,4,NA,0,NA,0,NA
202005,"S08000031",502,NA,27,NA,3,NA,18,NA,6,NA,0,NA
202005,"S08000032",143,NA,12,NA,3,NA,5,NA,0,NA,4,NA
202005,"SB0801",204,NA,10,NA,2,NA,5,NA,3,NA,0,NA
202006,"S08000015",356,NA,15,NA,5,NA,8,NA,1,NA,1,NA
202006,"S08000016",57,NA,1,NA,0,NA,1,NA,0,NA,0,NA
202006,"S08000017",652,NA,41,NA,15,NA,23,NA,2,NA,1,NA
202006,"S08000019",309,NA,34,NA,6,NA,24,NA,4,NA,0,NA
202006,"S08000020",1029,NA,85,NA,31,NA,27,NA,19,NA,8,NA
202006,"S08000022",365,NA,22,NA,8,NA,12,NA,2,NA,0,NA
202006,"S08000024",1597,NA,118,NA,31,NA,66,NA,14,NA,7,NA
202006,"S08000025",183,NA,5,NA,2,NA,0,NA,3,NA,0,NA
202006,"S08000026",69,NA,1,NA,0,NA,1,NA,0,NA,0,NA
202006,"S08000028",12,NA,2,NA,0,NA,1,NA,1,NA,0,NA
202006,"S08000029",260,NA,21,NA,2,NA,16,NA,3,NA,0,NA
202006,"S08000030",406,NA,13,NA,3,NA,7,NA,0,NA,3,NA
202006,"S08000031",1076,NA,58,NA,6,NA,38,NA,14,NA,0,NA
202006,"S08000032",231,NA,28,NA,1,NA,9,NA,5,NA,13,NA
202006,"SB0801",382,NA,21,NA,4,NA,9,NA,8,NA,0,NA
202007,"S08000015",662,NA,60,NA,15,NA,41,NA,3,NA,1,NA
202007,"S08000016",83,NA,4,NA,1,NA,3,NA,0,NA,0,NA
202007,"S08000017",833,NA,51,NA,11,NA,27,NA,11,NA,2,NA
202007,"S08000019",487,NA,24,NA,8,NA,14,NA,2,NA,0,NA
202007,"S08000020",1168,NA,102,NA,27,NA,37,NA,31,NA,7,NA
202007,"S08000022",700,NA,72,NA,28,NA,29,NA,15,NA,0,NA
202007,"S08000024",2179,NA,127,NA,45,NA,59,NA,20,NA,3,NA
202007,"S08000025",281,NA,9,NA,2,NA,1,NA,6,NA,0,NA
202007,"S08000026",93,NA,1,NA,1,NA,0,NA,0,NA,0,NA
202007,"S08000028",42,NA,4,NA,0,NA,3,NA,1,NA,0,NA
202007,"S08000029",706,NA,43,NA,5,NA,26,NA,11,NA,1,NA
202007,"S08000030",846,NA,32,NA,11,NA,11,NA,8,NA,2,NA
202007,"S08000031",2008,NA,97,NA,16,NA,59,NA,22,NA,0,NA
202007,"S08000032",370,NA,30,NA,6,NA,13,NA,1,NA,10,NA
202007,"SB0801",766,NA,43,NA,9,NA,22,NA,12,NA,0,NA
202008,"S08000015",875,NA,53,NA,9,NA,33,NA,11,NA,0,NA
202008,"S08000016",77,NA,5,NA,3,NA,0,NA,2,NA,0,NA
202008,"S08000017",904,NA,51,NA,12,NA,31,NA,7,NA,1,NA
202008,"S08000019",483,NA,35,NA,6,NA,27,NA,2,NA,0,NA
202008,"S08000020",1261,NA,143,NA,36,NA,44,NA,41,NA,22,NA
202008,"S08000022",704,NA,45,NA,12,NA,25,NA,8,NA,0,NA
202008,"S08000024",2478,NA,219,NA,97,NA,93,NA,19,NA,10,NA
202008,"S08000025",279,NA,10,NA,4,NA,3,NA,3,NA,0,NA
202008,"S08000026",98,NA,2,NA,0,NA,2,NA,0,NA,0,NA
202008,"S08000028",50,NA,2,NA,0,NA,1,NA,1,NA,0,NA
202008,"S08000029",854,NA,39,NA,10,NA,23,NA,6,NA,0,NA
202008,"S08000030",1185,NA,67,NA,20,NA,30,NA,16,NA,1,NA
202008,"S08000031",3014,NA,221,NA,61,NA,112,NA,27,NA,21,NA
202008,"S08000032",830,NA,47,NA,15,NA,21,NA,3,NA,8,NA
202008,"SB0801",739,NA,48,NA,13,NA,23,NA,12,NA,0,NA
202009,"S08000015",902,NA,69,NA,12,NA,47,NA,9,NA,1,NA
202009,"S08000016",133,NA,7,NA,0,NA,0,NA,7,NA,0,NA
202009,"S08000017",1122,NA,62,NA,13,NA,41,NA,5,NA,3,NA
202009,"S08000019",591,NA,41,NA,9,NA,25,NA,7,NA,0,NA
202009,"S08000020",1451,NA,107,NA,26,NA,40,NA,24,NA,17,NA
202009,"S08000022",879,NA,106,NA,37,NA,42,NA,27,NA,0,NA
202009,"S08000024",2934,NA,236,NA,90,NA,92,NA,34,NA,20,NA
202009,"S08000025",228,NA,8,NA,2,NA,1,NA,5,NA,0,NA
202009,"S08000026",105,NA,3,NA,0,NA,3,NA,0,NA,0,NA
202009,"S08000028",89,NA,2,NA,1,NA,1,NA,0,NA,0,NA
202009,"S08000029",1132,NA,57,NA,16,NA,33,NA,8,NA,0,NA
202009,"S08000030",1447,NA,52,NA,19,NA,16,NA,16,NA,1,NA
202009,"S08000031",4054,NA,250,NA,55,NA,143,NA,49,NA,3,NA
202009,"S08000032",1074,NA,84,NA,36,NA,35,NA,3,NA,10,NA
202009,"SB0801",915,NA,36,NA,10,NA,21,NA,5,NA,0,NA
202010,"S08000015",880,NA,86,NA,19,NA,47,NA,20,NA,0,NA
202010,"S08000016",159,NA,10,NA,4,NA,5,NA,1,NA,0,NA
202010,"S08000017",1144,NA,95,NA,18,NA,52,NA,19,NA,6,NA
202010,"S08000019",567,NA,46,NA,11,NA,27,NA,8,NA,0,NA
202010,"S08000020",1752,NA,145,NA,35,NA,52,NA,52,NA,6,NA
202010,"S08000022",847,NA,66,NA,21,NA,32,NA,13,NA,0,NA
202010,"S08000024",3150,NA,300,NA,91,NA,104,NA,82,NA,23,NA
202010,"S08000025",239,NA,14,NA,4,NA,4,NA,6,NA,0,NA
202010,"S08000026",109,NA,2,NA,0,NA,1,NA,1,NA,0,NA
202010,"S08000028",92,NA,7,NA,1,NA,4,NA,2,NA,0,NA
